datetime,basin_id,Year,Month,Day,qcfs,flag
1980-01-01,RC13172116,1980,1,1,1.724709604006375,si
1980-01-02,RC13172116,1980,1,2,1.5626574645030002,si
1980-01-03,RC13172116,1980,1,3,1.6835258215832503,si
1980-01-04,RC13172116,1980,1,4,1.7118204006570001,si
1980-01-05,RC13172116,1980,1,5,1.6403464496065003,si
1980-01-06,RC13172116,1980,1,6,1.4708265459254584,si
1980-01-07,RC13172116,1980,1,7,1.510236985973625,si
1980-01-08,RC13172116,1980,1,8,1.9479615447458751,si
1980-01-09,RC13172116,1980,1,9,1.9918207394120835,si
1980-01-10,RC13172116,1980,1,10,2.057530507412917,si
1980-01-11,RC13172116,1980,1,11,2.22380541688325,si
1980-01-12,RC13172116,1980,1,12,22.47937002005575,si
1980-01-13,RC13172116,1980,1,13,33.25453737028042,si
1980-01-14,RC13172116,1980,1,14,43.87308233384238,si
1980-01-15,RC13172116,1980,1,15,26.4867685510085,si
1980-01-16,RC13172116,1980,1,16,14.05725160447429,si
1980-01-17,RC13172116,1980,1,17,12.111615488580041,si
1980-01-18,RC13172116,1980,1,18,8.433478359990708,si
1980-01-19,RC13172116,1980,1,19,6.52160652576525,si
1980-01-20,RC13172116,1980,1,20,5.950896768481292,si
1980-01-21,RC13172116,1980,1,21,6.079087304888459,si
1980-01-22,RC13172116,1980,1,22,5.992688419892625,si
1980-01-23,RC13172116,1980,1,23,5.262687558781417,si
1980-01-24,RC13172116,1980,1,24,3.8881495882988335,si
1980-01-25,RC13172116,1980,1,25,3.9926108387602914,si
1980-01-26,RC13172116,1980,1,26,3.6897249411003337,si
1980-01-27,RC13172116,1980,1,27,3.5738536876423757,si
1980-01-28,RC13172116,1980,1,28,3.4211543962882085,si
1980-01-29,RC13172116,1980,1,29,3.2736202182415837,si
1980-01-30,RC13172116,1980,1,30,3.1981476131390005,si
1980-01-31,RC13172116,1980,1,31,3.1642997092035,si
1980-02-01,RC13172116,1980,2,1,3.230791315233417,si
1980-02-02,RC13172116,1980,2,2,3.414906460706375,si
1980-02-03,RC13172116,1980,2,3,8.40611085064979,si
1980-02-04,RC13172116,1980,2,4,3.7205203600835004,si
