datetime,basin_id,Year,Month,Day,qcfs,flag
1980-01-01,RC13172043,1980,1,1,-35279.3853,si
1980-01-02,RC13172043,1980,1,2,-35279.3853,si
1980-01-03,RC13172043,1980,1,3,-35279.3853,si
1980-01-04,RC13172043,1980,1,4,-35279.3853,si
1980-01-05,RC13172043,1980,1,5,-35279.3853,si
1980-01-06,RC13172043,1980,1,6,-35279.3853,si
1980-01-07,RC13172043,1980,1,7,-35279.3853,si
1980-01-08,RC13172043,1980,1,8,-35279.3853,si
1980-01-09,RC13172043,1980,1,9,-35279.3853,si
1980-01-10,RC13172043,1980,1,10,-35279.3853,si
1980-01-11,RC13172043,1980,1,11,-35279.3853,si
1980-01-12,RC13172043,1980,1,12,-35279.3853,si
1980-01-13,RC13172043,1980,1,13,-35279.3853,si
1980-01-14,RC13172043,1980,1,14,-35279.3853,si
1980-01-15,RC13172043,1980,1,15,-35279.3853,si
1980-01-16,RC13172043,1980,1,16,-35279.3853,si
1980-01-17,RC13172043,1980,1,17,-35279.3853,si
1980-01-18,RC13172043,1980,1,18,-35279.3853,si
1980-01-19,RC13172043,1980,1,19,-35279.3853,si
1980-01-20,RC13172043,1980,1,20,-35279.3853,si
1980-01-21,RC13172043,1980,1,21,-35279.3853,si
1980-01-22,RC13172043,1980,1,22,-35279.3853,si
1980-01-23,RC13172043,1980,1,23,-35279.3853,si
1980-01-24,RC13172043,1980,1,24,-35279.3853,si
1980-01-25,RC13172043,1980,1,25,-35279.3853,si
1980-01-26,RC13172043,1980,1,26,-35279.3853,si
1980-01-27,RC13172043,1980,1,27,-35279.3853,si
1980-01-28,RC13172043,1980,1,28,-35279.3853,si
1980-01-29,RC13172043,1980,1,29,-35279.3853,si
1980-01-30,RC13172043,1980,1,30,-35279.3853,si
1980-01-31,RC13172043,1980,1,31,-35279.3853,si
1980-02-01,RC13172043,1980,2,1,-35279.3853,si
1980-02-02,RC13172043,1980,2,2,-35279.3853,si
1980-02-03,RC13172043,1980,2,3,-35279.3853,si
1980-02-04,RC13172043,1980,2,4,-35279.3853,si
1980-02-05,RC13172043,1980,2,5,-35279.3853,si
1980-02-06,RC13172043,1980,2,6,-35279.3853,si
1980-02-07,RC13172043,1980,2,7,-35279.3853,si
1980-02-08,RC13172043,1980,2,8,-35279.3853,si
1980-02-09,RC13172043,1980,2,9,-35279.3853,si
1980-02-10,RC13172043,1980,2,10,-35279.3853,si
1980-02-11,RC13172043,1980,2,11,-35279.3853,si
1980-02-12,RC13172043,1980,2,12,-35279.3853,si
1980-02-13,RC13172043,1980,2,13,-35279.3853,si
1980-02-14,RC13172043,1980,2,14,-35279.3853,si
1980-02-15,RC13172043,1980,2,15,-35279.3853,si
1980-02-16,RC13172043,1980,2,16,-35279.3853,si
1980-02-17,RC13172043,1980,2,17,-35279.3853,si
1980-02-18,RC13172043,1980,2,18,-35279.3853,si
1980-02-19,RC13172043,1980,2,19,-35279.3853,si
1980-02-20,RC13172043,1980,2,20,-35279.3853,si
1980-02-21,RC13172043,1980,2,21,-35279.3853,si
1980-02-22,RC13172043,1980,2,22,-35279.3853,si
1980-02-23,RC13172043,1980,2,23,-35279.3853,si
1980-02-24,RC13172043,1980,2,24,-35279.3853,si
1980-02-25,RC13172043,1980,2,25,-35279.3853,si
1980-02-26,RC13172043,1980,2,26,-35279.3853,si
1980-02-27,RC13172043,1980,2,27,-35279.3853,si
1980-02-28,RC13172043,1980,2,28,-35279.3853,si
1980-02-29,RC13172043,1980,2,29,-35279.3853,si
1980-03-01,RC13172043,1980,3,1,-35279.3853,si
1980-03-02,RC13172043,1980,3,2,-35279.3853,si
1980-03-03,RC13172043,1980,3,3,-35279.3853,si
1980-03-04,RC13172043,1980,3,4,-35279.3853,si
1980-03-05,RC13172043,1980,3,5,-35279.3853,si
1980-03-06,RC13172043,1980,3,6,-35279.3853,si
1980-03-07,RC13172043,1980,3,7,-35279.3853,si
1980-03-08,RC13172043,1980,3,8,-35279.3853,si
1980-03-09,RC13172043,1980,3,9,-35279.3853,si
1980-03-10,RC13172043,1980,3,10,-35279.3853,si
1980-03-11,RC13172043,1980,3,11,-35279.3853,si
1980-03-12,RC13172043,1980,3,12,-35279.3853,si
1980-03-13,RC13172043,1980,3,13,-35279.3853,si
1980-03-14,RC13172043,1980,3,14,-35279.3853,si
1980-03-15,RC13172043,1980,3,15,-35279.3853,si
