datetime,basin_id,Year,Month,Day,qcfs,flag
1980-04-11,RC13172117,1980,4,11,0.0,si
1980-04-12,RC13172117,1980,4,12,0.0,si
1980-04-13,RC13172117,1980,4,13,0.0,si
1980-04-14,RC13172117,1980,4,14,0.0,si
1980-04-15,RC13172117,1980,4,15,0.0,si
1980-04-16,RC13172117,1980,4,16,0.0,si
1980-04-17,RC13172117,1980,4,17,0.0,si
1980-04-18,RC13172117,1980,4,18,0.0,si
1980-04-19,RC13172117,1980,4,19,0.0,si
1980-04-20,RC13172117,1980,4,20,0.0,si
1980-04-21,RC13172117,1980,4,21,0.0,si
1980-04-22,RC13172117,1980,4,22,0.0,si
1980-04-23,RC13172117,1980,4,23,0.0,si
1980-04-24,RC13172117,1980,4,24,0.0,si
1980-04-25,RC13172117,1980,4,25,0.0,si
1980-04-26,RC13172117,1980,4,26,0.0,si
1980-04-27,RC13172117,1980,4,27,0.0,si
1980-04-28,RC13172117,1980,4,28,0.0,si
1980-04-29,RC13172117,1980,4,29,0.0,si
1980-04-30,RC13172117,1980,4,30,0.0,si
1980-05-01,RC13172117,1980,5,1,0.0,si
1980-05-02,RC13172117,1980,5,2,0.0,si
1980-05-03,RC13172117,1980,5,3,0.0,si
1980-05-04,RC13172117,1980,5,4,0.0,si
1980-05-05,RC13172117,1980,5,5,0.0,si
1980-05-06,RC13172117,1980,5,6,0.0,si
1980-05-07,RC13172117,1980,5,7,0.0,si
1980-05-08,RC13172117,1980,5,8,0.0,si
1980-05-09,RC13172117,1980,5,9,0.0,si
1980-05-10,RC13172117,1980,5,10,0.0,si
1980-05-11,RC13172117,1980,5,11,0.0,si
1980-05-12,RC13172117,1980,5,12,0.0,si
1980-05-13,RC13172117,1980,5,13,0.0,si
1980-05-14,RC13172117,1980,5,14,0.0,si
1980-05-15,RC13172117,1980,5,15,0.0,si
1980-05-16,RC13172117,1980,5,16,0.0,si
1980-05-17,RC13172117,1980,5,17,0.0,si
1980-05-18,RC13172117,1980,5,18,0.0,si
1980-05-19,RC13172117,1980,5,19,0.0,si
1980-05-20,RC13172117,1980,5,20,0.0,si
1980-05-21,RC13172117,1980,5,21,0.0,si
1980-05-22,RC13172117,1980,5,22,0.0,si
1980-05-23,RC13172117,1980,5,23,0.0,si
1980-05-24,RC13172117,1980,5,24,0.0,si
1980-05-25,RC13172117,1980,5,25,0.0,si
1980-05-26,RC13172117,1980,5,26,0.0,si
1980-05-27,RC13172117,1980,5,27,0.0,si
1980-05-28,RC13172117,1980,5,28,0.0,si
1980-05-29,RC13172117,1980,5,29,0.0,si
1980-05-30,RC13172117,1980,5,30,0.0,si
1980-05-31,RC13172117,1980,5,31,0.0,si
1980-06-01,RC13172117,1980,6,1,0.0,si
1980-06-02,RC13172117,1980,6,2,0.0,si
1980-06-03,RC13172117,1980,6,3,0.0,si
1980-06-04,RC13172117,1980,6,4,0.0,si
1980-06-05,RC13172117,1980,6,5,0.0,si
1980-06-06,RC13172117,1980,6,6,0.0,si
1980-06-07,RC13172117,1980,6,7,0.0,si
1980-06-08,RC13172117,1980,6,8,0.0,si
1980-06-09,RC13172117,1980,6,9,0.0,si
1980-06-10,RC13172117,1980,6,10,0.0,si
1980-06-11,RC13172117,1980,6,11,0.0,si
1980-06-12,RC13172117,1980,6,12,0.0,si
1980-06-13,RC13172117,1980,6,13,0.0,si
1980-06-14,RC13172117,1980,6,14,0.0,si
1980-06-15,RC13172117,1980,6,15,0.0,si
1980-06-16,RC13172117,1980,6,16,0.0,si
1980-06-17,RC13172117,1980,6,17,0.0,si
1980-06-18,RC13172117,1980,6,18,0.0,si
1980-06-19,RC13172117,1980,6,19,0.0,si
1980-06-20,RC13172117,1980,6,20,0.0,si
1980-06-21,RC13172117,1980,6,21,0.0,si
1980-06-22,RC13172117,1980,6,22,0.0,si
1980-06-23,RC13172117,1980,6,23,0.0,si
1980-06-24,RC13172117,1980,6,24,0.0,si
1980-06-25,RC13172117,1980,6,25,0.0,si
1980-06-26,RC13172117,1980,6,26,0.0,si
1980-06-27,RC13172117,1980,6,27,0.0,si
1980-06-28,RC13172117,1980,6,28,0.0,si
1980-06-29,RC13172117,1980,6,29,0.0,si
1980-06-30,RC13172117,1980,6,30,0.0,si
1980-07-01,RC13172117,1980,7,1,0.0,si
1980-07-02,RC13172117,1980,7,2,0.0,si
1980-07-03,RC13172117,1980,7,3,0.0,si
1980-07-04,RC13172117,1980,7,4,0.0,si
1980-07-05,RC13172117,1980,7,5,0.0,si
1980-07-06,RC13172117,1980,7,6,0.0,si
1980-07-07,RC13172117,1980,7,7,0.0,si
1980-07-08,RC13172117,1980,7,8,0.0,si
1980-07-09,RC13172117,1980,7,9,0.0,si
1980-07-10,RC13172117,1980,7,10,0.0,si
1980-07-11,RC13172117,1980,7,11,0.0,si
1980-07-12,RC13172117,1980,7,12,0.0,si
1980-07-13,RC13172117,1980,7,13,0.0,si
1980-07-14,RC13172117,1980,7,14,0.0,si
1980-07-15,RC13172117,1980,7,15,0.0,si
1980-07-16,RC13172117,1980,7,16,0.0,si
1980-07-17,RC13172117,1980,7,17,0.0,si
1980-07-18,RC13172117,1980,7,18,0.0,si
1980-07-19,RC13172117,1980,7,19,0.0,si
1980-07-20,RC13172117,1980,7,20,0.0,si
1980-07-21,RC13172117,1980,7,21,0.0,si
1980-07-22,RC13172117,1980,7,22,0.0,si
1980-07-23,RC13172117,1980,7,23,0.0,si
1980-07-24,RC13172117,1980,7,24,0.0,si
1980-07-25,RC13172117,1980,7,25,0.0,si
1980-07-26,RC13172117,1980,7,26,0.0,si
1980-07-27,RC13172117,1980,7,27,0.0,si
1980-07-28,RC13172117,1980,7,28,0.0,si
1980-07-29,RC13172117,1980,7,29,0.0,si
1980-07-30,RC13172117,1980,7,30,0.0,si
1980-07-31,RC13172117,1980,7,31,0.0,si
1980-08-01,RC13172117,1980,8,1,0.0,si
1980-08-02,RC13172117,1980,8,2,0.0,si
1980-08-03,RC13172117,1980,8,3,0.0,si
1980-08-04,RC13172117,1980,8,4,0.0,si
1980-08-05,RC13172117,1980,8,5,0.0,si
1980-08-06,RC13172117,1980,8,6,0.0,si
1980-08-07,RC13172117,1980,8,7,0.0,si
1980-08-08,RC13172117,1980,8,8,0.0,si
1980-08-09,RC13172117,1980,8,9,0.0,si
1980-08-10,RC13172117,1980,8,10,0.0,si
1980-08-11,RC13172117,1980,8,11,0.0,si
1980-08-12,RC13172117,1980,8,12,0.0,si
1980-08-13,RC13172117,1980,8,13,0.0,si
1980-08-14,RC13172117,1980,8,14,0.0,si
1980-08-15,RC13172117,1980,8,15,0.0,si
1980-08-16,RC13172117,1980,8,16,0.0,si
1980-08-17,RC13172117,1980,8,17,0.0,si
1980-08-18,RC13172117,1980,8,18,0.0,si
1980-08-19,RC13172117,1980,8,19,0.0,si
1980-08-20,RC13172117,1980,8,20,0.0,si
1980-08-21,RC13172117,1980,8,21,0.0,si
1980-08-22,RC13172117,1980,8,22,0.0,si
1980-08-23,RC13172117,1980,8,23,0.0,si
1980-08-24,RC13172117,1980,8,24,0.0,si
1980-08-25,RC13172117,1980,8,25,0.0,si
1980-08-26,RC13172117,1980,8,26,0.0,si
1980-08-27,RC13172117,1980,8,27,0.0,si
1980-08-28,RC13172117,1980,8,28,0.0,si
1980-08-29,RC13172117,1980,8,29,0.0,si
1980-08-30,RC13172117,1980,8,30,0.0,si
1980-08-31,RC13172117,1980,8,31,0.0,si
1980-09-01,RC13172117,1980,9,1,0.0,si
1980-09-02,RC13172117,1980,9,2,0.0,si
1980-09-03,RC13172117,1980,9,3,0.0,si
