datetime,basin_id,Year,Month,Day,qcfs,flag
1980-01-01,RC13172135,1980,1,1,0.61296784231,si
1980-01-02,RC13172135,1980,1,2,0.6007461456484584,si
1980-01-03,RC13172135,1980,1,3,0.6452110168485834,si
1980-01-04,RC13172135,1980,1,4,0.5970752855846667,si
1980-01-05,RC13172135,1980,1,5,0.87837379271175,si
1980-01-06,RC13172135,1980,1,6,0.6700044377065,si
1980-01-07,RC13172135,1980,1,7,0.6830937282602918,si
1980-01-08,RC13172135,1980,1,8,0.716119123403875,si
1980-01-09,RC13172135,1980,1,9,0.6666563245717916,si
1980-01-10,RC13172135,1980,1,10,0.7001194012785,si
1980-01-11,RC13172135,1980,1,11,0.9547684352024167,si
1980-01-12,RC13172135,1980,1,12,5.109783530454,si
1980-01-13,RC13172135,1980,1,13,8.965797021327543,si
1980-01-14,RC13172135,1980,1,14,13.13754993064896,si
1980-01-15,RC13172135,1980,1,15,8.494381679605876,si
1980-01-16,RC13172135,1980,1,16,5.911730750300499,si
1980-01-17,RC13172135,1980,1,17,5.364850057704209,si
1980-01-18,RC13172135,1980,1,18,4.2963332533765,si
1980-01-19,RC13172135,1980,1,19,3.3778031888670417,si
1980-01-20,RC13172135,1980,1,20,2.7013405753980417,si
1980-01-21,RC13172135,1980,1,21,2.0842066432145834,si
1980-01-22,RC13172135,1980,1,22,2.1479649061789585,si
1980-01-23,RC13172135,1980,1,23,1.8784787100536668,si
1980-01-24,RC13172135,1980,1,24,1.5385660851666252,si
1980-01-25,RC13172135,1980,1,25,1.405482991363625,si
1980-01-26,RC13172135,1980,1,26,1.504879745983625,si
1980-01-27,RC13172135,1980,1,27,1.4256524525481253,si
1980-01-28,RC13172135,1980,1,28,1.5069725539634584,si
1980-01-29,RC13172135,1980,1,29,1.5525738080662084,si
1980-01-30,RC13172135,1980,1,30,1.5705584370484582,si
1980-01-31,RC13172135,1980,1,31,1.5973255523460002,si
1980-02-01,RC13172135,1980,2,1,1.5825694520955833,si
1980-02-02,RC13172135,1980,2,2,1.3484774729031253,si
1980-02-03,RC13172135,1980,2,3,4.8436886638275425,si
1980-02-04,RC13172135,1980,2,4,2.2173267585947505,si
1980-02-05,RC13172135,1980,2,5,1.340605208265875,si
1980-02-06,RC13172135,1980,2,6,1.331826856713375,si
1980-02-07,RC13172135,1980,2,7,1.170723667342375,si
1980-02-08,RC13172135,1980,2,8,1.1100320004958752,si
1980-02-09,RC13172135,1980,2,9,1.1057424268880833,si
1980-02-10,RC13172135,1980,2,10,1.1201819161385418,si
1980-02-11,RC13172135,1980,2,11,1.0737996921597501,si
1980-02-12,RC13172135,1980,2,12,1.1102350747353333,si
1980-02-13,RC13172135,1980,2,13,1.0636222310510834,si
1980-02-14,RC13172135,1980,2,14,1.1159177985436668,si
1980-02-15,RC13172135,1980,2,15,1.8013893979850835,si
1980-02-16,RC13172135,1980,2,16,2.1890817378166667,si
1980-02-17,RC13172135,1980,2,17,9.568712534282541,si
1980-02-18,RC13172135,1980,2,18,18.29177662847704,si
1980-02-19,RC13172135,1980,2,19,8.866958400826585,si
1980-02-20,RC13172135,1980,2,20,7.019626535164459,si
1980-02-21,RC13172135,1980,2,21,5.130928545511542,si
1980-02-22,RC13172135,1980,2,22,4.2569386166565835,si
1980-02-23,RC13172135,1980,2,23,3.773258641483958,si
1980-02-24,RC13172135,1980,2,24,3.5264946149182084,si
1980-02-25,RC13172135,1980,2,25,3.869311491304334,si
1980-02-26,RC13172135,1980,2,26,5.42470669375475,si
1980-02-27,RC13172135,1980,2,27,5.662118210603834,si
1980-02-28,RC13172135,1980,2,28,5.391785962553292,si
1980-02-29,RC13172135,1980,2,29,4.709757222643792,si
1980-03-01,RC13172135,1980,3,1,4.476724110587458,si
1980-03-02,RC13172135,1980,3,2,4.464010127007916,si
1980-03-03,RC13172135,1980,3,3,4.661174245418834,si
1980-03-04,RC13172135,1980,3,4,4.7273845551487925,si
1980-03-05,RC13172135,1980,3,5,4.3273946656229585,si
1980-03-06,RC13172135,1980,3,6,3.9899582339276254,si
1980-03-07,RC13172135,1980,3,7,3.731564090783167,si
1980-03-08,RC13172135,1980,3,8,3.662742185415917,si
1980-03-09,RC13172135,1980,3,9,3.522736174398417,si
1980-03-10,RC13172135,1980,3,10,3.2647885856354586,si
1980-03-11,RC13172135,1980,3,11,3.242837203546792,si
1980-03-12,RC13172135,1980,3,12,2.601306787733417,si
1980-03-13,RC13172135,1980,3,13,2.8264194600159165,si
1980-03-14,RC13172135,1980,3,14,3.209571727301042,si
1980-03-15,RC13172135,1980,3,15,3.3827609754566668,si
1980-03-16,RC13172135,1980,3,16,2.946475534852792,si
1980-03-17,RC13172135,1980,3,17,3.390061951249125,si
1980-03-18,RC13172135,1980,3,18,3.626732433262084,si
1980-03-19,RC13172135,1980,3,19,3.6972439263074586,si
1980-03-20,RC13172135,1980,3,20,3.9217443446931664,si
1980-03-21,RC13172135,1980,3,21,3.8223746646765004,si
1980-03-22,RC13172135,1980,3,22,3.8787854983034586,si
1980-03-23,RC13172135,1980,3,23,3.5063428110837087,si
1980-03-24,RC13172135,1980,3,24,3.618109966681167,si
1980-03-25,RC13172135,1980,3,25,3.588584685026875,si
1980-03-26,RC13172135,1980,3,26,3.545845142924167,si
1980-03-27,RC13172135,1980,3,27,3.117510601022875,si
1980-03-28,RC13172135,1980,3,28,3.278529594263292,si
1980-03-29,RC13172135,1980,3,29,3.1704314005645005,si
1980-03-30,RC13172135,1980,3,30,3.1547182572296255,si
1980-03-31,RC13172135,1980,3,31,3.2596524598108334,si
1980-04-01,RC13172135,1980,4,1,2.8267428838100837,si
1980-04-02,RC13172135,1980,4,2,2.862704872832167,si
1980-04-03,RC13172135,1980,4,3,2.7874027200149167,si
1980-04-04,RC13172135,1980,4,4,3.1334628395912083,si
1980-04-05,RC13172135,1980,4,5,4.063606805346292,si
1980-04-06,RC13172135,1980,4,6,3.5209874493122504,si
1980-04-07,RC13172135,1980,4,7,3.4282126570904587,si
1980-04-08,RC13172135,1980,4,8,3.7397636344026663,si
1980-04-09,RC13172135,1980,4,9,5.412393281874416,si
1980-04-10,RC13172135,1980,4,10,4.297130085438625,si
1980-04-11,RC13172135,1980,4,11,4.479693547136959,si
1980-04-12,RC13172135,1980,4,12,5.934034970385541,si
1980-04-13,RC13172135,1980,4,13,7.760433856334709,si
1980-04-14,RC13172135,1980,4,14,9.712953322265,si
1980-04-15,RC13172135,1980,4,15,10.274482155130917,si
1980-04-16,RC13172135,1980,4,16,11.342774917116042,si
1980-04-17,RC13172135,1980,4,17,13.793661065083874,si
1980-04-18,RC13172135,1980,4,18,15.894967954191502,si
1980-04-19,RC13172135,1980,4,19,18.289242401461667,si
1980-04-20,RC13172135,1980,4,20,19.967238691462292,si
1980-04-21,RC13172135,1980,4,21,22.09620899766792,si
1980-04-22,RC13172135,1980,4,22,23.37336400486908,si
1980-04-23,RC13172135,1980,4,23,22.794405601818166,si
1980-04-24,RC13172135,1980,4,24,26.01468501101946,si
1980-04-25,RC13172135,1980,4,25,22.524778632470003,si
1980-04-26,RC13172135,1980,4,26,21.786686540867084,si
1980-04-27,RC13172135,1980,4,27,22.935230325297333,si
1980-04-28,RC13172135,1980,4,28,25.360812960994664,si
1980-04-29,RC13172135,1980,4,29,25.168934805737585,si
1980-04-30,RC13172135,1980,4,30,22.08056262854496,si
1980-05-01,RC13172135,1980,5,1,22.367224452733335,si
1980-05-02,RC13172135,1980,5,2,22.870061357783626,si
1980-05-03,RC13172135,1980,5,3,23.845034510012713,si
1980-05-04,RC13172135,1980,5,4,21.667749809590088,si
1980-05-05,RC13172135,1980,5,5,21.92776845836346,si
1980-05-06,RC13172135,1980,5,6,23.862125794800626,si
1980-05-07,RC13172135,1980,5,7,22.66088273699896,si
1980-05-08,RC13172135,1980,5,8,20.624536134956962,si
1980-05-09,RC13172135,1980,5,9,20.263863513529124,si
1980-05-10,RC13172135,1980,5,10,18.765817264996713,si
1980-05-11,RC13172135,1980,5,11,17.54766115864092,si
